Informative Annex A Product Safety Standards

Adopting Agency	BSC	BSC-CG	SFM	HCD	DSA	OSHPD	DPH
1	2	AC	SS	SS/CC	1	1R	2	3	4	5	
Adopt Entire Article															
Adopt entire Article as amended(amended sections listed below)															
Adopt only those sections that are listed below			X												
Article/Section
Annex A			X												
Annex B			X												

Code

Code

Code

Article	Standard Number	Standard Title
110	UL 310	Electrical Quick-Connect Terminals
	UL 305	Panic Hardware
	UL 486A-486B	Wire Connectors
	UL 486C	Splicing Wire Connectors
	UL 486D	Sealed Wire Connector Systems
	UL 486E	Equipment Wiring Terminals for Use with Aluminum and/or Copper Conductors
	UL 486F	Bare and Covered Ferrules
	UL 486G	Sealed Twist-On Connecting Devices
	UL 510	Polyvinyl Chloride, Polyethylene and Rubber Insulating Tape
	UL Subject 546	Conductor Termination Compounds
	UL 2459	Insulated Multi-Pole Splicing Wire Connectors
210	UL 943	Ground-Fault Circuit-Interrupters
	UL 1699	Arc-Fault Circuit-Interrupters
230	UL 1053	Ground-Fault Sensing and Relaying Equipment
	UL 2735	Electric Utility Meters
240	UL 198M	Mine-Duty Fuses
	UL 248-1	Low-Voltage Fuses — Part 1: General Requirements
	UL 248-2	Low-Voltage Fuses — Part 2: Class C Fuses
	UL 248-3	Low-Voltage Fuses — Part 3: Class CA and CB Fuses
	UL 248-4	Low-Voltage Fuses — Part 4: Class CC Fuses
	UL 248-5	Low-Voltage Fuses — Part 5: Class G Fuses
	UL 248-6	Low-Voltage Fuses — Part 6: Class H Renewable Fuses
	UL 248-7	Low-Voltage Fuses — Part 7: Class H Renewable Fuses
	UL 248-8	Low-Voltage Fuses — Part 8: Class J Fuses
	UL 248-9	Low-Voltage Fuses — Part 9: Class K Fuses
	UL 248-10	Low-Voltage Fuses — Part 10: Class L Fuses
	UL 248-11	Low-Voltage Fuses — Part 11: Plug Fuses
	UL 248-12	Low-Voltage Fuses — Part 12: Class R Fuses
	UL 248-13	Low-Voltage Fuses — Part 13: Semiconductor Fuses
	UL 248-14	Low-Voltage Fuses — Part 14: Supplemental Fuses
	UL 248-15	Low-Voltage Fuses — Part 15: Class T Fuses
	UL 248-16	Low-Voltage Fuses — Part 16: Test Limiters
	UL Subject 248-17	Low-Voltage Fuses — Part 17: Class CF Fuses
	UL 489	Molded-Case Circuit Breakers, Molded-Case Switches, and Circuit-Breaker Enclosures
250	UL 467	Grounding and Bonding Equipment
280	IEEE C62.1	Surge Arresters — Gapped Silicon-Carbide Surge Arresters for AC Power Circuits
	IEEE C62.11	Surge Arresters — Metal-Oxide Surge Arresters for AC Power Circuits
285	UL 1449	Surge Protective Devices
300	UL 263	Fire Tests of Building Construction and Materials
	UL Subject 267	Wire Pulling Compounds
	UL 514B	Conduit, Tubing, and Cable Fittings
	UL 635	Insulated Bushings
	UL 1479	Fire Tests of Through-Penetration Firestops
	UL 1565	Positioning Devices
	UL 1581	Reference Standard for Electrical Wires, Cables, and Flexible Cords
	UL 2043	Fire Test for Heat and Visible Smoke Release for Discrete Products and Their Accessories Installed in Air-Handling Spaces
	UL 2239	Hardware for the Support of Conduit, Tubing and Cable
	UL Subject 2419	Electrically Conductive Corrosion Resistant Compounds
	UL 60730-1	Automatic Electrical Controls — Part 1: General Requirements
310	UL 44	Thermoset-Insulated Wires and Cables
	UL 66	Fixture Wire
	UL 83	Thermoplastic-Insulated Wires and Cables
	UL 1063	Machine-Tool Wires and Cables
312	UL 414	Meter Sockets
314	UL 50	Enclosures for Electrical Equipment
	UL 50E	Enclosures for Electrical Equipment, Environmental Considerations
	UL 514A	Metallic Outlet Boxes
	UL 514C	Nonmetallic Outlet Boxes, Flush-Device Boxes, and Covers
	UL 514D	Cover Plates for Flush-Mounted Wiring Devices
320	UL 4	Armored Cable
328	UL 1072	Medium-Voltage Power Cables
330	UL 1569	Metal-Clad Cables
334	UL 719	Nonmetallic-Sheathed Cables
	UL Subject 2256	Nonmetallic Sheathed Cable Interconnects
336	UL 1277	Electrical Power and Control Tray Cables with Optional Optical-Fiber Members
338	UL 854	Service-Entrance Cables
340	UL 493	Thermoplastic-Insulated Underground Feeder and Branch-Circuit Cables
342	UL 1242	Electrical Intermediate Metal Conduit — Steel
344	UL 6	Electrical Rigid Metal Conduit — Steel
	UL 6A	Electrical Rigid Metal Conduit - Aluminum, Red Brass and Stainless Steel
348	UL 1	Flexible Metal Conduit
350	UL 360	Liquid-Tight Flexible Steel Conduit
352	UL 651	Schedule 40, 80, Type EB and A Rigid PVC Conduit and Fittings
353	UL 651A	Schedule 40 and 80 High Density Polyethylene (HDPE) Conduit
354	UL 1990	Nonmetallic Underground Conduit with Conductors
355	UL 2420	Belowground Reinforced Thermosetting Resin Conduit (RTRC) and Fittings
	UL 2515	Aboveground Reinforced Thermosetting Resin Conduit (RTRC) and Fittings
	UL 2515A	Supplemental Requirements for Extra-Heavy Wall Reinforced Thermosetting Resin Conduit (RTRC) and Fittings
356	UL 1660	Liquid-Tight Flexible Nonmetallic Conduit
358	UL 797A	Electrical Metallic Tubing — Aluminum
	UL 797	Electrical Metallic Tubing — Steel
360	UL Subject 1652	Flexible Metallic Tubing
362	UL 1653	Electrical Nonmetallic Tubing
368	UL 1953	Power Distribution Blocks
	UL Subject 509	Bus Drop Cable
	UL 857	Busways
374	UL 209	Cellular Metal Floor Raceways and Fittings
376	UL 870	Wireways, Auxiliary Gutters, and Associated Fittings
380	UL Subject 111	Multioutlet Assemblies
384	UL 5B	Strut-Type Channel Raceways and Fittings
386	UL 5	Surface Metal Raceways and Fittings
388	UL 5A	Nonmetallic Surface Raceways and Fittings
390	UL 884	Underfloor Raceways and Fittings
392	UL 568	Nonmetallic Cable Tray Systems
400	UL 62	Flexible Cords and Cables
	UL 817	Cord Sets and Power-Supply Cords
	UL Subject 1650	Portable Power Cable
404	UL 20	General-Use Snap Switches
	UL 98	Enclosed and Dead-Front Switches
	UL Subject 98A	Open-Type Switches
	UL 363	Knife Switches
	UL 773	Plug-In Locking Type Photocontrols for Use with Area Lighting
	UL 773A	Nonindustrial Photoelectric Switches for Lighting Control
	UL 917	Clock-Operated Switches
	UL 1429	Pullout Switches
406	UL 498	Attachment Plugs and Receptacles
	UL 1682	Plugs, Receptacles, and Cable Connectors, of the Pin and Sleeve Type
408	UL 67	Panelboards
	UL 891	Switchboards
	UL 1558	Metal-Enclosed Low-Voltage Power Circuit Breaker Switchgear
	UL 60947-1	Low-Voltage Switchgear and Controlgear — Part 1: General Rules
	UL 60947-4-1	Low-Voltage Switchgear and Controlgear — Part 4-1: Contactors and Motor-Starters — Electromechanical Contactors and Motor-Starters
	UL 60947-4-2	Voltage Switchgear and Controlgear — Part 4-2: Contactors and Motor-Starters — AC Semiconductor Motor Controllers and Starters
	UL 60947-5-1	Low-Voltage Switchgear and Controlgear — Part 5-1: Control Circuit Devices and Switching Elements — Electromechanical Control Circuit Devices
	UL 60947-5-2	Low-Voltage Switchgear and Controlgear — Part 5-2: Control Circuit Devices and Switching Elements — Proximity Switches
	UL 60947-7-1	Low-Voltage Switchgear And Controlgear — Part 7-1: Ancillary Equipment — Terminal Blocks for Copper Conductors
	UL 60947-7-2	Low-Voltage Switchgear and Controlgear — Part 7-2: Ancillary Equipment — Protective Conductor Terminal Blocks for Copper Conductors
	UL 60947-7-3	Low-Voltage Switchgear and Controlgear — Part 7-3: Ancillary Equipment — Safety Requirements for Fuse Terminal Blocks
409	UL 508	Industrial Control Equipment
	UL 508A	Industrial Control Panels
410	UL 65	Wired Cabinets
	UL 153	Portable Electric Luminaires
	UL 496	Lampholders
	UL 542	Fluorescent Lamp Starters
	UL 588	Seasonal and Holiday Decorative Products
	UL 935	Fluorescent-Lamp Ballasts
	UL 1029	High-Intensity-Discharge Lamp Ballasts
	UL Subject 1029A	Ignitors and Related Auxiliaries for HID Lamp Ballasts
	UL 1574	Track Lighting Systems
	UL 1598	Luminaires
	UL 1598B	Luminaire Reflector Kits for Installation on Previously Installed Fluorescent Luminaires, Supplemental Requirements
	UL 1598C	Light-Emitting Diode (LED) Retrofit Luminaire Conversion Kits
	UL 1993	Self-Ballasted Lamps and Lamp Adapters
	UL 2388	Flexible Lighting Products
	UL 8750	Light Emitting Diode (LED) Equipment for Use in Lighting Products
	UL 8752	Organic Light Emitting Diode (OLED) Panels
	UL 8753	Field-Replaceable Light Emitting Diode (LED) Light Engines
	UL 8754	Holders, Bases and Connectors for Solid-State (LED) Light Engines and Arrays
	UL Subject 8800	Horticultural Lighting Equipment
411	UL 234	Low-Voltage Lighting Fixtures for Use in Recreational Vehicles
	UL 1838	Low-Voltage Landscape Lighting Systems
	UL 2108	Low-Voltage Lighting Systems
422	UL 22	Amusement and Gaming Machines
	UL 73	Motor-Operated Appliances
	UL 122	Photographic Equipment
	UL 141	Garment Finishing Appliances
	UL 174	Household Electric Storage Tank Water Heaters
	UL 197	Commercial Electric Cooking Appliances
	UL 283	Air Fresheners and Deodorizers
	UL 399	Drinking Water Coolers
	UL 430	Waste Disposers
	UL 474	Dehumidifiers
	UL 507	Electric Fans
	UL 574	Electric Oil Heaters
	UL 621	Ice Cream Makers
	UL 705	Power Ventilators
	UL 710B	Recirculating Systems
	UL 749	Household Dishwashers
	UL 751	Vending Machines
	UL 763	Motor-Operated Commercial Food Preparing Machines
	UL 858	Household Electric Ranges
	UL 875	Electric Dry-Bath Heaters
	UL 921	Commercial Dishwashers
	UL 923	Microwave Cooking Appliances
	UL 962	Household and Commercial Furnishings
	UL 962A	Furniture Power Distribution Units
	UL 1017	Vacuum Cleaners, Blower Cleaners, and Household Floor Finishing Machines
	UL 1026	Household Electric Cooking and Food Serving Appliances
	UL 1278	Movable and Wall- or Ceiling-Hung Electric Room Heaters
	UL 1453	Electric Booster and Commercial Storage Tank Water Heaters
	UL 1727	Commercial Electric Personal Grooming Appliances
	UL 1776	High-Pressure Cleaning Machines
	UL 60335-2-40	Household and Similar Electrical Appliances, Part 2: Particular Requirements for Heating and Cooling
	UL 60335-2-24	Household and Similar Electrical Appliances, Part 2: Particular Requirements for Refrigerating Appliances, Ice-Cream Appliances, and Ice-Makers
424	UL 499	Electric Heating Appliances
	UL 834	Heating, Water Supply, and Power Boilers — Electric
	UL 873	Temperature-Indicating and -Regulating Equipment
	UL 1042	Electric Baseboard Heating Equipment
	UL 1673	Electric Space Heating Cables
	UL 1693	Electric Radiant Heating Panels and Heating Panel Sets
	UL 1995	Heating and Cooling Equipment
	UL 1996	Electric Duct Heaters
	UL 2021	Fixed and Location-Dedicated Electric Room Heaters
426	UL Subject 1588	Roof and Gutter De-Icing Cable Units
427	IEEE 515	Electrical Resistance Heat Tracing for Industrial Applications
	UL 515	Electrical Resistance Heat Tracing for Commercial and Industrial Applications
	UL Subject 2049	Residential Pipe Heating Cable
430	UL 508C	Power Conversion Equipment
	UL 845	Motor Control Centers
	UL 1004-1	Rotating Electrical Machines — General Requirements
	UL 1004-2	Impedance Protected Motors
	UL 1004-3	Thermally Protected Motors
	UL 2111	Overheating Protection for Motors
	UL 1004-6	Servo and Stepper Motors
	UL 1004-7	Electronically Protected Motors
	UL 1004-8	Inverter Duty Motors
	UL 1004-9	Medium Voltage and Form Wound Motors
	UL 60034-1	Rotating Electrical Machines
440	UL 250	Household Refrigerators and Freezers
	UL 412	Refrigeration Unit Coolers
	UL 416	Refrigerated Medical Equipment
	UL 427	Refrigerating Units
	UL 471	Commercial Refrigerators and Freezers
	UL 484	Room Air Conditioners
	UL 541	Refrigerated Vending Machines
	UL 563	Ice Makers
445	UL 1004-4	Electric Generators
	UL 2200	Stationary Engine Generator Assemblies
450	UL 506	Specialty Transformers
	UL 5085-1	Low Voltage Transformers — Part 1: General Requirements
	UL 5085-2	Low Voltage Transformers — Part 2: General Purpose Transformers
	UL 1062	Unit Substations
	UL 1561	Dry-Type General Purpose and Power Transformers
	UL 1562	Transformers, Distribution, Dry-Type — Over 600 Volts
460	UL 810	Capacitors
	UL 810A	Electrochemical Capacitors
480	UL 1642	Lithium Batteries
	UL 1973	Batteries for Use in Stationary, Vehicle Auxiliary Power and Light Electric Rail (LER) Applications
	UL 1989	Standby Batteries
	UL 2054	Household and Commercial Batteries
490	UL 347	Medium-Voltage AC Contactors, Controllers, and Control Centers
	UL Subject 347A	Medium Voltage Power Conversion Controllers
	UL Subject 347B	Medium Voltage Motor Controllers, Up to 15kV
	UL Subject 347C	Medium Voltage Solid State Resistive Load Controllers, Up to 15kV
500	ANSI/ISA 12.12.01	Nonincendive Electrical Equipment for Use in Class I and II, Division 2 and Class III, Divisions 1 and 2 Hazardous (Classified) Locations
	ANSI/ISA-12.27.01	Requirements for Process Sealing Between Electrical Systems and Potentially Flammable or Combustible Process Fluids
	UL 698A	Industrial Control Panels Relating to Hazardous (Classified) Locations
	UL 844	Luminaires for Use in Hazardous (Classified) Locations
	UL 1203	Explosionproof and Dust-Ignition-Proof Electrical Equipment for Use in Hazardous (Classified) Locations
	UL 2075	Gas and Vapor Detectors and Sensors
	UL 2225	Cable and Cable Fittings for Use in Hazardous (Classified) Locations
